Weight	Nested	Procedure	PairType	Fan	Length	Word1	Word2	Word1_Imag	Word2_Imag	Word1_Freq	Word2_Freq	CorrResp	ProbeCode
1			NewFoil	1	Short	PIPE	OVEN	598	599	20	7	k	10
1			NewFoil	1	Short	CROW	CHALK	578	601	2	3	k	10
1			NewFoil	1	Short	SHIRT	CHAIN	612	559	27	50	k	10
1			NewFoil	1	Short	DRINK	COMET	553	521	82	2	k	10
1			NewFoil	1	Short	SILK	MILE	510	511	12	48	k	10
1			NewFoil	1	Short	JUICE	BUMP	593	476	11	5	k	10
1			NewFoil	1	Short	TOKEN	CLOCK	416	614	10	20	k	10
1			NewFoil	1	Short	PILL	DEBT	580	384	15	13	k	10
1			NewFoil	1	Short	PEDAL	BERRY	556	551	4	9	k	10
1			NewFoil	1	Short	ALERT	DANCE	428	510	33	90	k	10
1			NewFoil	1	Short	DENT	EDGE	486	495	2	78	k	10
1			NewFoil	1	Short	CORAL	PAGE	561	555	5	66	k	10
1			NewFoil	1	Short	CURB	BANK	556	560	13	83	k	10
1			NewFoil	1	Short	FRAME	LACE	508	506	74	7	k	10
1			NewFoil	1	Short	RIDGE	WIND	543	535	18	63	k	10
1			NewFoil	1	Short	ACRE	HORN	464	566	9	31	k	10
1			NewFoil	1	Short	SWAMP	DESK	600	574	5	65	k	10
1			NewFoil	1	Short	LODGE	BELT	464	494	19	29	k	10
1			NewFoil	1	Short	STEEL	EVENT	534	334	45	81	k	10
1			NewFoil	1	Short	PRIZE	PLUG	517	583	28	23	k	10
1			NewFoil	1	Short	SMOKE	MEDAL	615	529	41	7	k	10
1			NewFoil	1	Short	VAULT	STEM	550	533	2	29	k	10
1			NewFoil	1	Short	COACH	CLOUD	560	595	24	28	k	10
1			NewFoil	1	Short	JOKE	BOLT	483	551	22	10	k	10
